Book ID,Title,Author,Authors,Author IDs,Category,Bookshelf,Language,Release Date,Most Recently Updated,Downloads,Download Link,Is Public Domain,Description,Cover URLs
41,The Legend of Sleepy Hollow by Washington Irving,"Irving, Washington, 1783-1859","Irving, Washington, 1783-1859",34,"4224, 5055"," 20, 40",English,"Jun 27, 2008","Jun 27, 2022",5312,https://www.gutenberg.org/ebooks/41.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/51GsJJkz2yL.jpg, https://m.media-amazon.com/images/I/71hoe9rjiJL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61suLc9S9QL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/618OmhSxPFL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/81FW-i1s12L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61uw75ZWqkL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71OA0mdiSML._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/611TbR3KTAL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/91oYCUEaMVL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61D55Ow9+lL._AC_UF1000,1000_QL80_.jpg"
2814,Dubliners by James Joyce,"Joyce, James, 1882-1941","Joyce, James, 1882-1941",1039,"94, 3199", 336,English,"Sep 1, 2001","May 21, 2021",7489,https://www.gutenberg.org/ebooks/2814.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/41y6NQ6dw-L._AC_UF350,350_QL80_.jpg, https://m.media-amazon.com/images/I/51xBCUwv7wL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61lAX+qKMVL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/91eXX++L1bL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/81qqdM42mmL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/91kvXywNznL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/81Fd314KEzL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51YhseckR2L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51Fbf-OModL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71pdDibkvkS._AC_UF1000,1000_QL80_.jpg"
5827,The Problems of Philosophy by Bertrand Russell,"Russell, Bertrand, 1872-1970","Russell, Bertrand, 1872-1970",355,"997, 6948, 9063", 57,English,"Jun 1, 2004","Dec 5, 2019",5832,https://www.gutenberg.org/ebooks/5827.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/91qsWAkNyAL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/419kWBsupIL.jpg, https://m.media-amazon.com/images/I/81Nrc7yCyHL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71L4JIfcKNL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/41d378TDxCL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/81KWVhcbJqL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71aAmMACjQL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/81r3wHxC52L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71H3Cl+03qL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71wa2OEm9DL._AC_UF1000,1000_QL80_.jpg"
76,Adventures of Huckleberry Finn by Mark Twain,"Twain, Mark, 1835-1910","Twain, Mark, 1835-1910, Kemble, E. W. (Edward Windsor), 1861-1933","53, 37155","511, 2536, 2604, 2614, 2849, 3470, 5311, 7019, 7021, 7022, 7023"," 13, 336, 422",English,"Jun 29, 2004","Nov 16, 2023",13599,https://www.gutenberg.org/ebooks/76.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/91Suc5Kql8L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/91k46He1eBL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/91sBZnKzEfL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71n8L4ymJoL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61Uy6qkfHyL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/91JURiqaiRL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/41EoFbdRBmL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/81vUm6cgjML._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/91Qiu3qhA3L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71mnC+w-fNL._AC_UF1000,1000_QL80_.jpg"
67979,The Blue Castle: a novel by L. M. Montgomery,"Montgomery, L. M. (Lucy Maud), 1874-1942","Montgomery, L. M. (Lucy Maud), 1874-1942",36,"110, 2512, 3738, 9183, 18234, 19779, 33957",,English,"May 3, 2022","Jul 14, 2023",45052,https://www.gutenberg.org/ebooks/67979.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/61W3s2T0Q-L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61OPMn3g4mL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71XfqHPMxhL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71FuwfpA3IL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/717J5-kt1GL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/91LSELQugYL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/910oxwxBB+L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61VNXh6dE6L._AC_UF1000,1000_QL80_.jpg"
398,The First Book of Adam and Eve by Rutherford Hayes Platt,"Platt, Rutherford Hayes, 1894-1975","Platt, Rutherford Hayes, 1894-1975",222,"6526, 18450, 18451", 119,English,"Jan 1, 1996","Jan 1, 2021",6281,https://www.gutenberg.org/ebooks/398.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/51SgFSOqFXL.jpg, https://m.media-amazon.com/images/I/51hnuTymg3L.jpg, https://m.media-amazon.com/images/I/51PIVaSTJcL.jpg, https://m.media-amazon.com/images/I/51gz+bDk+rL.jpg, https://m.media-amazon.com/images/I/91B-6R1Nc9L._AC_SX148_SY213_QL70_.jpg"
3,John F. Kennedy's Inaugural Address by John F. Kennedy,"Kennedy, John F. (John Fitzgerald), 1917-1963","Kennedy, John F. (John Fitzgerald), 1917-1963",1666,"2740, 2748",,English,"Nov 1, 1973","Feb 9, 2024",4227,https://www.gutenberg.org/ebooks/3.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/51yz4NSp1GL.jpg, https://m.media-amazon.com/images/I/91RXy45MwgL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/81-hq6dTnDL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51gby0EyR+L.jpg, https://m.media-amazon.com/images/I/514N8DW19ZL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71dGz4Q-kJL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/81y+7MmykjL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/91OZDsMr2UL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/91ofcW21PWL._AC_UF1000,1000_QL80_.jpg"
73870,Negro life in New York's Harlem :  A lively picture of a popular and…,"Thurman, Wallace, 1902-1934","Thurman, Wallace, 1902-1934",56240,"40374, 40375, 40376, 40377, 40378",,English,"Jun 19, 2024",No recently updated date available,808,https://www.gutenberg.org/ebooks/73870.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/81NKn86RCZL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/81JJmEkHHOL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/81NKn86RCZL._AC_UF350,350_QL50_.jpg, https://m.media-amazon.com/images/I/71xR8AdFb3L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/41a-zI8aEbL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/41a1k5iXo7L.jpg, https://m.media-amazon.com/images/I/41Fo2qGlIRL.jpg, https://m.media-amazon.com/images/I/71s3poOVGlL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61PlNYexNfL._AC_UF1000,1000_QL80_.jpg"
6761,The Adventures of Ferdinand Count Fathom — Complete by T. Smollett,"Smollett, T. (Tobias), 1721-1771","Smollett, T. (Tobias), 1721-1771",838,"2586, 2849", 13,English,"Sep 9, 2004","Oct 30, 2022",42304,https://www.gutenberg.org/ebooks/6761.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/51mxmWJorlL.jpg, https://m.media-amazon.com/images/I/81BDWewjktL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/619LWBPVAZL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/614r46tL2tL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51wKwNRpFcL.jpg, https://m.media-amazon.com/images/I/316iO2Tdd+L._AC_UF350,350_QL80_.jpg, https://m.media-amazon.com/images/I/31Qyx37byfL._AC_UF350,350_QL80_.jpg, https://m.media-amazon.com/images/I/71wO9DERXbL._AC_UF1000,1000_QL80_.jpg"
3207,Leviathan by Thomas Hobbes,"Hobbes, Thomas, 1588-1679","Hobbes, Thomas, 1588-1679",1133,"2745, 4929"," 40, 61",English,"May 1, 2002","Mar 27, 2021",5899,https://www.gutenberg.org/ebooks/3207.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/81FahrZOf8L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71s1c+g94vL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51SiCipLe6L.jpg, https://m.media-amazon.com/images/I/81JAyWPUu5L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71CvvL5VJ5L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51QI-X4ZPRL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71Vv92tymxL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51u54eXZaXL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61YHLwHsFPL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61VyNm072OL._AC_UF1000,1000_QL80_.jpg"
4300,Ulysses by James Joyce,"Joyce, James, 1882-1941","Joyce, James, 1882-1941",1039,"1278, 2430, 2514, 2534, 2614, 3199, 3538, 3539, 3540, 3541"," 13, 33, 336, 422",English,"Jul 1, 2003","Mar 1, 2021",14742,https://www.gutenberg.org/ebooks/4300.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/41Rb-Kz6v1L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51Fbf-OModL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/81ivDqRrCOL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51oWIUxYeGL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51OJEb+dt0L.jpg, https://m.media-amazon.com/images/I/51xBCUwv7wL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/41oZa5SBbgL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61urWm3OpbL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/31ootZWutOL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/81aAvZ2UwrL._AC_UF1000,1000_QL80_.jpg"
29024,Across Mongolian Plains by Roy Chapman Andrews,"Andrews, Roy Chapman, 1884-1960","Andrews, Roy Chapman, 1884-1960",4301,"8026, 9285, 9286",,English,"Jun 3, 2009","Dec 17, 2021",45576,https://www.gutenberg.org/ebooks/29024.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/61kYWaLRN3L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51uh8Kha6-L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/517YfYXWnHL._AC_UF1000,1000_QL80_.jpg"
8492,The King in Yellow by Robert W. Chambers,"Chambers, Robert W. (Robert William), 1865-1933","Chambers, Robert W. (Robert William), 1865-1933",38191,"1375, 1662, 3329", 42,English,"Jul 1, 2005","Aug 23, 2017",7368,https://www.gutenberg.org/ebooks/8492.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/71RkkG6Qh7L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51321BVUmuL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51HTLv9CUzL.jpg, https://m.media-amazon.com/images/I/51P6-N0klkL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51NsLt+NLEL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71JApYLFyqL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/41+T7ri-sRL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71K84s4qrFL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/81vtAIvsLvL._AC_UF1000,1000_QL80_.jpg"
1399,Anna Karenina by graf Leo Tolstoy,"Tolstoy, Leo, graf, 1828-1910","Tolstoy, Leo, graf, 1828-1910, Garnett, Constance, 1861-1946","136, 2858","30, 510, 2487, 2538, 3300"," 13, 40, 49",English,"Jul 1, 1998","Apr 9, 2023",6681,https://www.gutenberg.org/ebooks/1399.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/51Q-za6VQjL.jpg, https://m.media-amazon.com/images/I/51BZ9gOqX8L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51xAnsbt6cL.jpg, https://m.media-amazon.com/images/I/51315P4liGL.jpg, https://m.media-amazon.com/images/I/71LM-Ozg7iL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71WnovW7JHL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61p+tB1SZoL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51cZY7PCwiL.jpg, https://m.media-amazon.com/images/I/71OJMiXugNL._AC_UF1000,1000_QL80_.jpg"
4085,The Adventures of Roderick Random by T. Smollett,"Smollett, T. (Tobias), 1721-1771","Smollett, T. (Tobias), 1721-1771",838,"115, 1702, 2543, 3298, 4276, 8276, 10680, 10681"," 13, 41",English,"May 1, 2003","Aug 5, 2021",41071,https://www.gutenberg.org/ebooks/4085.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/81iCOOAJuKL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71A6s3nUSIL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/81aJF7L4b2L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71dQDZ2U+zL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/91Afw2Uj0bL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/41YWKYahCgL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61qMgn8dQsL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51MajmZtWrL.jpg"
2701,"Moby Dick; Or, The Whale by Herman Melville","Melville, Herman, 1819-1891","Melville, Herman, 1819-1891",9,"11, 115, 2430, 2486, 2849, 3315, 8143, 8144, 18044", 13,English,"Jul 1, 2001","Aug 18, 2021",67762,https://www.gutenberg.org/ebooks/2701.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/619JuJjNoLL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/815k-Jes0LS._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/610qaD5PskL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/815k-Jes0LS.jpg, https://m.media-amazon.com/images/I/71d5wo+-MuL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71ieaR3eVFL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/91DnKg7QZrL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51tlf+cP-8L.jpg, https://m.media-amazon.com/images/I/81haMGUigxL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/41mmIj0c4eL.jpg"
1259,Twenty years after by Alexandre Dumas and Auguste Maquet,"Maquet, Auguste, 1813-1888","Dumas, Alexandre, 1802-1870, Maquet, Auguste, 1813-1888","492, 3930",1031," 82, 41, 49",English,"Mar 1, 1998","Apr 9, 2022",39947,https://www.gutenberg.org/ebooks/1259.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/513xgh+Nd3L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51i0q1HWynL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51Cd+xFoRhL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51N7zFaMh4L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51kuSstfWrL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/41vDDA3uGZL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51q4SHznLiL._AC_UF1000,1000_QL80_.jpg, http://prodimage.images-bn.com/pimages/9782384613588_p0_v1_s1200x630.jpg"
4363,Beyond Good and Evil by Friedrich Wilhelm Nietzsche,"Nietzsche, Friedrich Wilhelm, 1844-1900","Nietzsche, Friedrich Wilhelm, 1844-1900, Zimmern, Helen, 1846-1934","779, 1466","466, 4392"," 57, 199",English,"Aug 1, 2003","Jan 9, 2019",8157,https://www.gutenberg.org/ebooks/4363.epub.noimages,True,No description available,"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388607391i/12321.jpg, https://m.media-amazon.com/images/I/61e4sD41Z4L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71KeDeBZOPL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61KlAQoY4wL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/41VqMHEr1+L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71HhrJHS95L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61DvtMMxpEL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/617CgA45gmL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/714SE7F-NnL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/81ZQwOhjjyL._AC_UF1000,1000_QL80_.jpg"
2641,A Room with a View by E. M. Forster,"Forster, E. M. (Edward Morgan), 1879-1970","Forster, E. M. (Edward Morgan), 1879-1970",975,"511, 1702, 2481, 2871, 4235", 127,English,"May 1, 2001","May 4, 2024",50956,https://www.gutenberg.org/ebooks/2641.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/51wXTslfWWL.jpg, https://m.media-amazon.com/images/I/51SyFolpQ1L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/81cqW-i-XML._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/710SYsysnmL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/81SlnX4PUAL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/41C-mFfw0VL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/41lUYAGKjjL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/518jMvrY2EL.jpg, https://m.media-amazon.com/images/I/51h46AeUOfL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51tRC903f3L.jpg"
2848,Antiquities of the Jews by Flavius Josephus,"Josephus, Flavius, 38?-100?","Josephus, Flavius, 38?-100?, Whiston, William, 1667-1752","1050, 1051",1105, 128,English,"Oct 1, 2001","Jan 30, 2024",4855,https://www.gutenberg.org/ebooks/2848.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/51Jh5rdV5yL.jpg, https://m.media-amazon.com/images/I/91JSiXB54pL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/41+nZwYmKdL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/31XWrncgCmL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51Lzflvb8rL.jpg, https://m.media-amazon.com/images/I/31XWrncgCmL._AC_UF350,350_QL80_.jpg, https://m.media-amazon.com/images/I/91mlUWyAN7L._AC_UF1000,1000_QL80_.jpg"
10007,Carmilla by Joseph Sheridan Le Fanu,"Le Fanu, Joseph Sheridan, 1814-1873","Le Fanu, Joseph Sheridan, 1814-1873",272,"2481, 2692"," 39, 42",English,"Nov 1, 2003","Aug 6, 2021",5599,https://www.gutenberg.org/ebooks/10007.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/91i1Lp7dO4L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/41Gmi4nWWkL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61rWskFmLKL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/41c6hYZVj5L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51vZ09p3DxL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71bQ51wNt0L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71aR4useaKL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/41oyhQIoyYL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/712yBrlO+7L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71RvUwY0eiL._AC_UF1000,1000_QL80_.jpg"
158,Emma by Jane Austen,"Austen, Jane, 1775-1817","Austen, Jane, 1775-1817",68,"511, 1702, 2481, 2487, 2531, 2536, 2545, 2636",,English,"Aug 1, 1994","Dec 14, 2021",6875,https://www.gutenberg.org/ebooks/158.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/812ZM4qYw7L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/81f8oZxrEzL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71YMvGXuwKL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/91V5C1pEyiL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71fKGGwZtrL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71uUqz7OOjL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/517bNwfy-2L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/619y7f3i4GL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/813l6cX0mHL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/91CdRlcLgVL._AC_UF1000,1000_QL80_.jpg"
46,A Christmas Carol in Prose; Being a Ghost Story of Christmas by Charles Dickens,"Dickens, Charles, 1812-1870","Dickens, Charles, 1812-1870, Leech, John, 1817-1864","37, 9473","343, 1282, 2542, 2716, 3335, 3336, 3337"," 20, 23",English,"Aug 11, 2004","Nov 13, 2021",10761,https://www.gutenberg.org/ebooks/46.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/51gXygoE94L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/515z-4Gt+6L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51c098qW1lL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/81awLbX3kxL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71k5nkXSBrL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71SADfWl-0L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71VdeXhruLL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51-ZtekVNyL._AC_UF1000,1000_QL80_.jpg, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1406512317i/5326.jpg, https://m.media-amazon.com/images/I/71JtMtRkJSL._AC_UF1000,1000_QL80_.jpg"
1513,Romeo and Juliet by William Shakespeare,"Shakespeare, William, 1564-1616","Shakespeare, William, 1564-1616",65,"867, 868, 869, 2881, 2882, 2883, 4882",,English,"Nov 1, 1998","Jun 19, 2024",72994,https://www.gutenberg.org/ebooks/1513.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/51JqB05fOML._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/41nhwETB6TL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51B6Ipm83zL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/91iKVDeQ1FL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71-XKp2tqRL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51Io-ZeQifL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/91in53N2BiL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61VTMXCk-kL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71B+Q1h+JuL._AC_UF1000,1000_QL80_.jpg"
37106,"Little Women; Or, Meg, Jo, Beth, and Amy by Louisa May Alcott","Alcott, Louisa May, 1832-1888","Alcott, Louisa May, 1832-1888, Merrill, Frank T., 1848-1923","102, 6202","517, 2481, 2489, 2514, 2519, 2521, 2536, 2546, 7107",,English,"Aug 16, 2011","May 22, 2023",48644,https://www.gutenberg.org/ebooks/37106.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/51BoTzEPDEL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71rG38-qvtL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51A55MbnenL.jpg, https://m.media-amazon.com/images/I/61SSRXKFRKL.jpg, https://m.media-amazon.com/images/I/71eWlh2Dh6L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71o95rphJaL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71Ds24CpHGL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61m3yKitF2L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/5124dzBs2FL._AC_UF1000,1000_QL80_.jpg"
